fecha_gas,Reparto_N1
2023-03-24,5050.0
2023-03-25,4659.0
2023-03-26,4310.0
2023-03-27,4896.0
2023-03-28,4565.0
2023-03-29,4133.0
2023-03-30,4065.0
2023-03-31,4189.0
2023-04-01,3429.0
2023-04-02,3604.0
2023-04-03,3837.0
2023-04-04,4156.0
2023-04-05,4115.0
2023-04-06,3757.0
2023-04-07,3452.0
2023-04-08,3255.0
2023-04-09,3256.0
2023-04-10,3210.0
2023-04-11,3058.0
2023-04-12,3084.0
2023-04-13,3386.0
2023-04-14,3570.0
2023-04-15,3004.0
2023-04-16,3095.0
2023-04-17,3184.0
2023-04-18,3338.0
2023-04-19,3223.0
2023-04-20,3283.0
2023-04-21,2973.0
2023-04-22,2696.0
2023-04-23,2550.0
2023-04-24,2674.0
2023-04-25,2684.0
2023-04-26,2438.0
2023-04-27,2337.0
2023-04-28,2199.0
2023-04-29,2000.0
2023-04-30,1881.0
2023-05-01,2199.0
2023-05-02,2355.0
2023-05-03,2366.0
2023-05-04,2334.0
2023-05-05,2255.0
2023-05-06,2122.0
2023-05-07,2057.0
2023-05-08,2185.0
2023-05-09,2243.0
2023-05-10,2369.0
2023-05-11,2512.0
2023-05-12,2735.0
2023-05-13,2700.0
2023-05-14,2436.0
2023-05-15,2409.0
2023-05-16,2491.0
2023-05-17,2511.0
2023-05-18,2529.0
2023-05-19,2606.0
2023-05-20,2392.0
2023-05-21,2406.0
2023-05-22,2426.0
2023-05-23,2324.0
2023-05-24,2318.0
2023-05-25,2439.0
2023-05-26,2352.0
2023-05-27,2145.0
2023-05-28,2080.0
2023-05-29,2140.0
2023-05-30,2164.0
2023-05-31,2252.0
2023-06-01,2269.0
2023-06-02,2211.0
2023-06-03,2086.0
2023-06-04,1995.0
2023-06-05,2068.0
2023-06-06,2110.0
2023-06-07,2141.0
2023-06-08,2162.0
2023-06-09,2059.0
2023-06-10,1983.0
2023-06-11,1895.0
2023-06-12,1951.0
2023-06-13,1874.0
2023-06-14,1848.0
2023-06-15,2009.0
2023-06-16,1898.0
2023-06-17,1691.0
2023-06-18,1621.0
2023-06-19,1698.0
2023-06-20,1876.0
2023-06-21,1870.0
2023-06-22,1895.0
2023-06-23,1735.0
2023-06-24,1472.0
2023-06-25,1529.0
2023-06-26,1692.0
2023-06-27,1726.0
2023-06-28,1764.0
2023-06-29,1532.0
2023-06-30,2732.0
2023-07-01,1570.0
2023-07-02,1439.0
2023-07-03,1513.0
2023-07-04,1642.0
2023-07-05,1608.0
2023-07-06,1611.0
2023-07-07,1624.0
2023-07-08,1507.0
2023-07-09,1430.0
2023-07-10,1514.0
2023-07-11,1515.0
2023-07-12,1570.0
2023-07-13,1524.0
2023-07-14,1584.0
2023-07-15,1436.0
2023-07-16,1320.0
2023-07-17,1520.0
2023-07-18,1538.0
2023-07-19,1513.0
2023-07-20,1518.0
2023-07-21,1599.0
2023-07-22,1515.0
2023-07-23,1379.0
2023-07-24,1484.0
2023-07-25,1516.0
2023-07-26,1582.0
2023-07-27,1563.0
2023-07-28,1578.0
2023-07-29,1404.0
2023-07-30,1289.0
2023-07-31,1430.0
2023-08-01,1394.0
2023-08-02,1398.0
2023-08-03,1387.0
2023-08-04,1464.0
2023-08-05,1403.0
2023-08-06,1264.0
2023-08-07,1343.0
2023-08-08,1476.0
2023-08-09,1698.0
2023-08-10,1329.0
2023-08-11,1318.0
2023-08-12,1220.0
2023-08-13,1193.0
2023-08-14,1231.0
2023-08-15,1230.0
2023-08-16,1284.0
2023-08-17,1408.0
2023-08-18,1438.0
2023-08-19,1418.0
2023-08-20,1343.0
2023-08-21,1281.0
2023-08-22,1316.0
2023-08-23,1349.0
2023-08-24,1299.0
2023-08-25,1319.0
2023-08-26,1255.0
2023-08-27,1412.0
2023-08-28,1561.0
2023-08-29,1572.0
2023-08-30,1536.0
2023-08-31,1738.0
2023-09-01,1753.0
2023-09-02,1705.0
2023-09-03,1650.0
2023-09-04,1755.0
2023-09-05,1844.0
2023-09-06,1891.0
2023-09-07,1922.0
2023-09-08,1883.0
2023-09-09,1740.0
2023-09-10,1647.0
2023-09-11,1734.0
2023-09-12,1892.0
2023-09-13,1945.0
2023-09-14,1974.0
2023-09-15,2033.0
2023-09-16,2046.0
2023-09-17,1959.0
2023-09-18,2010.0
2023-09-19,2235.0
2023-09-20,2415.0
2023-09-21,2511.0
2023-09-22,2471.0
2023-09-23,2322.0
2023-09-24,2219.0
2023-09-25,2460.0
2023-09-26,2550.0
2023-09-27,2544.0
2023-09-28,2561.0
2023-09-29,2570.0
2023-09-30,2398.0
2023-10-01,2786.0
2023-10-02,2998.0
2023-10-03,3133.0
2023-10-04,3162.0
2023-10-05,3285.0
2023-10-06,3370.0
2023-10-07,3236.0
2023-10-08,3322.0
2023-10-09,3350.0
2023-10-10,3512.0
2023-10-11,3625.0
2023-10-12,3380.0
2023-10-13,3133.0
2023-10-14,2973.0
2023-10-15,3081.0
2023-10-16,3691.0
2023-10-17,3442.0
2023-10-18,3791.0
2023-10-19,3850.0
2023-10-20,4167.0
2023-10-21,4366.0
2023-10-22,4783.0
2023-10-23,5203.0
2023-10-24,5957.0
2023-10-25,5640.0
2023-10-26,5617.0
2023-10-27,5964.0
2023-10-28,5609.0
2023-10-29,5876.0
2023-10-30,6627.0
2023-10-31,7720.0
2023-11-01,8881.0
2023-11-02,10195.0
2023-11-03,11966.0
2023-11-04,11028.0
2023-11-05,10944.0
2023-11-06,12579.0
2023-11-07,14925.0
2023-11-08,15350.0
2023-11-09,14747.0
2023-11-10,13765.0
2023-11-11,11713.0
2023-11-12,9685.0
2023-11-13,9380.0
2023-11-14,9823.0
2023-11-15,10283.0
2023-11-16,10699.0
2023-11-17,11088.0
2023-11-18,11049.0
2023-11-19,11585.0
2023-11-20,13539.0
2023-11-21,15381.0
2023-11-22,17369.0
2023-11-23,19650.0
2023-11-24,20758.0
2023-11-25,19277.0
2023-11-26,20929.0
2023-11-27,23619.0
2023-11-28,22187.0
2023-11-29,21374.0
2023-11-30,19540.0
2023-12-01,23477.0
2023-12-02,25812.0
2023-12-03,30311.0
2023-12-04,30505.0
2023-12-05,32913.0
2023-12-06,32366.0
2023-12-07,31302.0
2023-12-08,28088.0
2023-12-09,27017.0
2023-12-10,24965.0
2023-12-11,24291.0
2023-12-12,24339.0
2023-12-13,28276.0
2023-12-14,31238.0
2023-12-15,31884.0
2023-12-16,38688.0
2023-12-17,37640.0
2023-12-18,41767.0
2023-12-19,41626.0
2023-12-20,41654.0
2023-12-21,38744.0
2023-12-22,33029.0
2023-12-23,34069.0
2023-12-24,37964.0
2023-12-25,38301.0
2023-12-26,42187.0
2023-12-27,44007.0
2023-12-28,46446.0
2023-12-29,44708.0
2023-12-30,39788.0
2023-12-31,40647.0
2024-01-01,38199.0
2024-01-02,42404.0
2024-01-03,35663.0
2024-01-04,35930.0
2024-01-05,40752.0
2024-01-06,42533.0
2024-01-07,47768.0
2024-01-08,54489.0
2024-01-09,56232.0
2024-01-10,55472.0
2024-01-11,55696.0
2024-01-12,56002.0
2024-01-13,54628.0
2024-01-14,48674.0
2024-01-15,44023.0
2024-01-16,39977.0
2024-01-17,36076.0
2024-01-18,31770.0
2024-01-19,46648.0
2024-01-20,47294.0
2024-01-21,48013.0
2024-01-22,49955.0
2024-01-23,43443.0
2024-01-24,38988.0
2024-01-25,36831.0
2024-01-26,35439.0
2024-01-27,33903.0
2024-01-28,34775.0
2024-01-29,37665.0
2024-01-30,37310.0
2024-01-31,40413.0
2024-02-01,39204.0
2024-02-02,38002.0
2024-02-03,35826.0
2024-02-04,35714.0
2024-02-05,38992.0
2024-02-06,40488.0
2024-02-07,41052.0
2024-02-08,39115.0
2024-02-09,39898.0
2024-02-10,42681.0
2024-02-11,45746.0
2024-02-12,41786.0
2024-02-13,37786.0
2024-02-14,33657.0
2024-02-15,32821.0
2024-02-16,35244.0
2024-02-17,31587.0
2024-02-18,31432.0
2024-02-19,31591.0
2024-02-20,33034.0
2024-02-21,35089.0
2024-02-22,35751.0
2024-02-23,44753.0
2024-02-24,47987.0
2024-02-25,47323.0
2024-02-26,48216.0
2024-02-27,51445.0
2024-02-28,47334.0
2024-02-29,46903.0
2024-03-01,43671.0
2024-03-02,46147.0
2024-03-03,51773.0
2024-03-04,51101.0
2024-03-05,45511.0
2024-03-06,44892.0
2024-03-07,45811.0
2024-03-08,48701.0
2024-03-09,52383.0
2024-03-10,51199.0
2024-03-11,49211.0
2024-03-12,43564.0
2024-03-13,39387.0
2024-03-14,36986.0
2024-03-15,32553.0
2024-03-16,27260.0
2024-03-17,24264.0
2024-03-18,24098.0
2024-03-19,22265.0
2024-03-20,23222.0
2024-03-21,22529.0
2024-03-22,20313.0
2024-03-23,19393.0
2024-03-24,21938.0
2024-03-25,31472.0
2024-03-26,40605.0
2024-03-27,42800.0
2024-03-28,35257.0
2024-03-29,36583.0
2024-03-30,38587.0
2024-03-31,46615.0
2024-04-01,45982.0
2024-04-02,44345.0
2024-04-03,34160.0
2024-04-04,28635.0
2024-04-05,24293.0
2024-04-06,21293.0
2024-04-07,20623.0
2024-04-08,25104.0
2024-04-09,30299.0
2024-04-10,30362.0
2024-04-11,26370.0
2024-04-12,25648.0
2024-04-13,21150.0
2024-04-14,20428.0
2024-04-15,21814.0
2024-04-16,24075.0
2024-04-17,27490.0
2024-04-18,30488.0
2024-04-19,31420.0
2024-04-20,27929.0
2024-04-21,29661.0
2024-04-22,40156.0
2024-04-23,49480.0
2024-04-24,48622.0
2024-04-25,49012.0
2024-04-26,45305.0
2024-04-27,41735.0
2024-04-28,41524.0
2024-04-29,45905.0
2024-04-30,42605.0
2024-05-01,45405.0
2024-05-02,46735.0
2024-05-03,41466.0
2024-05-04,31977.0
2024-05-05,31164.0
2024-05-06,31813.0
2024-05-07,31817.0
2024-05-08,30464.0
2024-05-09,30452.0
2024-05-10,28060.0
2024-05-11,25372.0
2024-05-12,24532.0
2024-05-13,25689.0
2024-05-14,28084.0
2024-05-15,30795.0
2024-05-16,33851.0
2024-05-17,32641.0
2024-05-18,31695.0
2024-05-19,31060.0
2024-05-20,30429.0
2024-05-21,32974.0
2024-05-22,32726.0
2024-05-23,31254.0
2024-05-24,28855.0
2024-05-25,23435.0
2024-05-26,22748.0
2024-05-27,23927.0
2024-05-28,24078.0
2024-05-29,23348.0
2024-05-30,23292.0
2024-05-31,22399.0
2024-06-01,21941.0
2024-06-02,21284.0
2024-06-03,22220.0
2024-06-04,21823.0
2024-06-05,20273.0
2024-06-06,21449.0
2024-06-07,20946.0
2024-06-08,20782.0
2024-06-09,21690.0
2024-06-10,23810.0
2024-06-11,24652.0
2024-06-12,25137.0
