FECHA,Temp_Ponderada_MAX,Temp_Ponderada_MIN
2022-10-01,24.25,10.21
2022-10-02,26.87,12.32
2022-10-03,26.91,13.98
2022-10-04,27.43,14.56
2022-10-05,25.98,13.98
2022-10-06,25.32,15.56
2022-10-07,23.42,14.52
2022-10-08,24.08,14.86
2022-10-09,24.4,14.43
2022-10-10,21.69,14.76
2022-10-11,22.7,15.25
2022-10-12,23.81,13.7
2022-10-13,24.72,13.51
2022-10-14,26.0,13.91
2022-10-15,25.82,13.67
2022-10-16,25.51,14.65
2022-10-17,24.98,16.33
2022-10-18,26.59,15.98
2022-10-19,24.85,16.75
2022-10-20,22.63,16.4
2022-10-21,22.35,16.13
2022-10-22,23.9,14.72
2022-10-23,22.66,15.38
2022-10-24,22.99,14.61
2022-10-25,24.96,14.69
2022-10-26,25.03,15.08
2022-10-27,24.63,15.54
2022-10-28,23.9,14.63
2022-10-29,23.19,13.74
2022-10-30,21.36,12.96
2022-10-31,20.7,13.23
2022-11-01,21.67,12.6
2022-11-02,21.23,11.41
2022-11-03,19.8,12.23
2022-11-04,18.53,8.58
2022-11-05,19.09,6.65
2022-11-06,20.18,5.9
2022-11-07,19.96,7.24
2022-11-08,18.78,10.17
2022-11-09,19.61,10.32
2022-11-10,18.91,9.24
2022-11-11,19.26,9.08
2022-11-12,20.48,12.06
2022-11-13,19.71,9.96
2022-11-14,18.66,11.19
2022-11-15,18.61,12.56
2022-11-16,17.83,12.73
2022-11-17,20.12,12.65
2022-11-18,15.16,8.83
2022-11-19,13.87,6.43
2022-11-20,16.15,6.0
2022-11-21,15.11,7.73
2022-11-22,14.29,6.95
2022-11-23,18.39,9.57
2022-11-24,14.83,8.48
2022-11-25,15.77,6.58
2022-11-26,15.96,4.77
2022-11-27,15.45,3.65
2022-11-28,13.67,6.2
2022-11-29,14.02,5.0
2022-11-30,13.49,4.46
2022-12-01,13.12,4.92
2022-12-02,11.5,3.34
2022-12-03,11.51,1.78
2022-12-04,11.13,3.73
2022-12-05,11.9,4.01
2022-12-06,14.16,7.93
2022-12-07,14.06,7.27
2022-12-08,13.36,8.35
2022-12-09,15.31,9.21
2022-12-10,13.17,5.79
2022-12-11,9.84,5.11
2022-12-12,13.23,7.04
2022-12-13,15.1,9.98
2022-12-14,16.66,10.21
2022-12-15,14.82,9.14
2022-12-16,14.11,7.16
2022-12-17,13.34,6.21
2022-12-18,14.04,5.17
2022-12-19,14.9,6.68
2022-12-20,14.66,7.8
2022-12-21,16.0,8.91
2022-12-22,16.75,9.7
2022-12-23,17.59,9.74
2022-12-24,16.34,8.7
2022-12-25,16.52,7.14
2022-12-26,16.75,7.03
2022-12-27,15.87,5.62
2022-12-28,14.9,4.97
2022-12-29,14.98,7.05
2022-12-30,16.83,8.57
2022-12-31,17.49,6.88
2023-01-01,16.14,7.01
2023-01-02,13.93,6.49
2023-01-03,14.66,5.24
2023-01-04,13.81,3.8
2023-01-05,13.49,2.92
2023-01-06,12.46,1.78
2023-01-07,13.26,2.92
2023-01-08,14.97,8.42
2023-01-09,15.09,6.91
2023-01-10,14.18,4.2
2023-01-11,13.04,4.49
2023-01-12,13.07,3.31
2023-01-13,13.8,4.06
2023-01-14,14.02,2.88
2023-01-15,13.42,4.99
2023-01-16,13.04,4.9
2023-01-17,13.56,4.77
2023-01-18,9.63,3.16
2023-01-19,10.31,2.06
2023-01-20,13.27,4.43
2023-01-21,10.8,1.16
2023-01-22,9.54,-0.57
2023-01-23,8.9,-1.01
2023-01-24,6.72,0.67
2023-01-25,11.3,0.75
2023-01-26,10.03,0.61
2023-01-27,9.75,0.55
2023-01-28,9.42,0.2
2023-01-29,8.82,0.06
2023-01-30,10.92,-0.99
2023-01-31,12.23,-0.34
2023-02-01,13.23,0.9
2023-02-02,14.62,0.83
2023-02-03,15.73,0.57
2023-02-04,18.63,1.24
2023-02-05,15.72,3.27
2023-02-06,11.44,2.51
2023-02-07,10.2,2.99
2023-02-08,11.09,4.0
2023-02-09,11.28,3.0
2023-02-10,11.88,1.06
2023-02-11,12.45,-0.07
2023-02-12,13.08,0.32
2023-02-13,13.65,1.23
2023-02-14,13.49,3.07
2023-02-15,14.65,3.49
2023-02-16,15.34,2.82
2023-02-17,16.66,2.5
2023-02-18,16.55,3.79
2023-02-19,18.03,4.9
2023-02-20,18.53,6.05
2023-02-21,17.04,6.12
2023-02-22,15.52,6.23
2023-02-23,11.75,4.39
2023-02-24,11.69,2.22
2023-02-25,11.87,1.85
2023-02-26,11.85,1.46
2023-02-27,7.52,0.16
2023-02-28,11.02,0.42
2023-03-01,9.33,-0.71
2023-03-02,11.35,0.22
2023-03-03,12.81,0.26
2023-03-04,13.61,1.17
2023-03-05,13.4,1.02
2023-03-06,13.66,5.13
2023-03-07,15.78,6.7
2023-03-08,19.53,9.32
2023-03-09,19.67,11.35
2023-03-10,21.27,10.32
2023-03-11,22.61,11.47
2023-03-12,21.13,10.36
2023-03-13,21.21,9.65
2023-03-14,19.09,8.23
2023-03-15,19.13,6.28
2023-03-16,20.2,6.61
2023-03-17,16.36,9.28
2023-03-18,16.89,8.32
2023-03-19,17.62,7.4
2023-03-20,18.66,6.03
2023-03-21,19.12,7.17
2023-03-22,19.62,7.29
2023-03-23,19.82,9.28
2023-03-24,20.99,9.1
2023-03-25,19.62,7.68
2023-03-26,22.55,9.08
2023-03-27,19.43,7.38
2023-03-28,20.72,7.95
2023-03-29,22.6,9.02
2023-03-30,21.32,10.19
2023-03-31,23.29,11.04
