codigo_postal,latitud,longitud
49539,41.594466667,-5.566666667
49530,41.55,-5.6167
49525,41.75,-6.36665
49524,41.794433333,-6.4389
49523,41.791666667,-6.366666667
49522,41.85,-6.333333333
49521,41.85555,-6.4722
49520,41.8778,-6.438866667
49519,41.74334,-6.28002
49518,41.6833,-6.45
49517,41.7167,-6.3667
49516,41.725,-6.5
49515,41.741666667,-6.441666667
49514,41.6833,-6.3
49513,41.65835,-6.175
49512,41.7125,-6.225
49511,41.6167,-6.2
49510,41.625,-6.1083
49500,41.7,-6.35
49450,41.15,-5.30835
49440,41.1667,-5.3667
49430,41.2,-5.4667
49420,41.1976,-5.3786
49419,41.2333,-5.3167
49410,41.25,-5.3833
49400,41.2333,-5.5
49396,42.069466667,-6.680566667
49395,42.088875,-6.7
49394,42.04166,-6.72084
49393,42.0333,-6.6167
49392,41.99582,-6.68752
49391,41.95,-6.6167
49390,42.075,-6.6167
49362,42.1083,-6.675
49361,42.125,-6.6917
49360,42.091666667,-6.658333333
49359,42.127775,-6.655575
49358,42.1375,-6.625
49357,42.10835,-6.6167
49352,42.1278,-6.6333
49350,42.1278,-6.6333
49349,42.1167,-6.3879
49348,42.0667,-6.45
49347,42.0833,-6.4167
49346,42.1,-6.4167
49345,42.1,-6.4
49344,42.1167,-6.35
49343,42.1167,-6.3879
49342,42.127766667,-6.4
49341,42.14165,-6.36665
49340,42.15,-6.3
49337,41.95835,-6.20835
49336,41.95,-6.15
49335,41.9,-6.1333
49334,41.9,-6.0167
49333,41.9333,-5.95
49332,41.99165,-6.0417
49331,41.988866667,-6.1
49330,42,-6.161133333
49327,42.094433333,-6.166666667
49326,42.01665,-6.225
49325,42.0389,-6.45
49324,42.1,-6.4875
49323,42.133333333,-6.555566667
49322,42.066675,-6.525
49321,42.08,-6.57666
49320,42.05835,-6.58335
49319,42.07915,-6.33335
49318,42.016675,-6.305575
49317,42.050025,-6.383325
49310,42.0333,-6.3333
49300,42.05,-6.6333
49290,41.3959,-6.1423
49281,41.45,-5.8667
49280,41.4167,-5.8667
49272,41.4,-5.94165
49271,41.3667,-5.9333
49270,41.3889,-5.9389
49260,41.4,-6.0167
49255,41.40835,-6.05
49254,41.45835,-6.075
49253,41.4833,-6.1333
49252,41.4833,-6.1667
49251,41.45,-6.18335
49250,41.5333,-6.15
49240,41.34165,-6.16665
49232,41.3667,-6.3167
49231,41.3667,-6.3833
49230,41.33335,-6.29165
49220,41.3167,-6.3833
49216,41.3389,-6.011133333
49215,41.4222,-6.15
49214,41.420825,-6.2375
49213,41.4,-6.283333333
49212,41.3833,-6.2
49211,41.272225,-6.155575
49210,41.3745,-6.1735
49200,41.3667,-6.1
49193,41.4833,-5.8
49192,41.55,-5.772233333
49191,41.4125,-5.6875
49190,41.45,-5.7333
49183,41.416666667,-5.4667
49182,41.5833,-5.9
49181,41.4708,-5.6875
49180,41.4667,-5.9167
49178,41.29165,-5.8417
49177,41.2375,-5.95
49176,41.3167,-5.8833
49174,41.36665,-5.90835
49173,41.3833,-5.85
49172,41.4,-5.8333
49171,41.3167,-5.8875
49170,41.4333,-5.7833
49167,41.5167,-5.9667
49166,41.525,-6.066666667
